PT-11%,"400-499,9",272
PT-11%,"500-599,9",304
PT-11%,"600-699,9",346
PT-11%,700-1000,462
PT-10%,"0-49,9",93
PT-10%,"50-99,9",106
PT-10%,"100-149,9",118
PT-10%,"150-199,9",141
PT-10%,"200-299,9",186
PT-10%,"300-399,9",230
PT-10%,"400-499,9",272
PT-10%,"500-599,9",304
PT-10%,"600-699,9",346
PT-10%,700-1000,462
PT-14%,"0-49,9",93
PT-14%,"50-99,9",106
PT-14%,"100-149,9",118
PT-14%,"150-199,9",141
PT-14%,"200-299,9",186
PT-14%,"300-399,9",230
PT-14%,"400-499,9",272
PT-14%,"500-599,9",304
PT-14%,"600-699,9",346
PT-14%,700-1000,462
PT-15%,"0-49,9",93
PT-15%,"50-99,9",106
PT-15%,"100-149,9",118
PT-15%,"150-199,9",141
PT-15%,"200-299,9",186
PT-15%,"300-399,9",230
PT-15%,"400-499,9",272
PT-15%,"500-599,9",304
PT-15%,"600-699,9",346
PT-15%,700-1000,462
PT-02%,"0-49,9",93
PT-02%,"50-99,9",106
PT-02%,"100-149,9",118
PT-02%,"150-199,9",141
PT-02%,"200-299,9",186
PT-02%,"300-399,9",230
PT-02%,"400-499,9",272
PT-02%,"500-599,9",304
PT-02%,"600-699,9",346
PT-02%,700-1000,462
PT-08%,"0-49,9",93
PT-08%,"50-99,9",106
PT-08%,"100-149,9",118
PT-08%,"150-199,9",141
PT-08%,"200-299,9",186
PT-08%,"300-399,9",230
PT-08%,"400-499,9",272
PT-08%,"500-599,9",304
PT-08%,"600-699,9",346
PT-08%,700-1000,462
PT-07%,"0-49,9",93
PT-07%,"50-99,9",106
PT-07%,"100-149,9",118
PT-07%,"150-199,9",141
PT-07%,"200-299,9",186
PT-07%,"300-399,9",230
PT-07%,"400-499,9",272
PT-07%,"500-599,9",304
PT-07%,"600-699,9",346
PT-07%,700-1000,462
PT-12%,"0-49,9",93
PT-12%,"50-99,9",106
PT-12%,"100-149,9",118
PT-12%,"150-199,9",141
PT-12%,"200-299,9",186
PT-12%,"300-399,9",230
PT-12%,"400-499,9",272
PT-12%,"500-599,9",304
PT-12%,"600-699,9",346
PT-12%,700-1000,462
